step,action
0,17
1,1
2,1
3,17
4,17
5,17
0,17
1,1
2,17
3,1
0,1
1,25
2,1
3,17
4,25
5,25
6,25
7,25
0,1
1,1
2,17
3,17
4,17
0,1
1,25
2,25
3,25
0,25
1,25
2,25
0,1
1,17
2,17
3,17
0,1
1,1
2,17
3,17
4,17
5,17
6,17
7,25
8,25
9,25
10,25
11,25
12,25
13,25
14,25
15,25
16,25
17,25
18,25
19,25
20,25
21,25
22,25
0,1
1,1
2,17
3,17
4,17
5,17
6,25
7,25
8,25
0,1
1,1
2,17
3,17
4,17
5,17
6,17
7,17
0,1
1,25
2,1
3,25
4,25
5,25
0,1
1,17
2,17
3,17
4,17
5,17
6,25
7,25
8,25
0,25
1,17
2,25
3,25
4,25
5,25
6,25
0,1
1,25
2,1
0,1
1,1
2,17
3,17
0,1
1,1
2,17
3,17
4,17
5,17
6,25
0,1
1,1
2,17
3,17
4,25
5,17
6,1
0,1
1,1
2,17
3,17
4,17
5,17
6,25
7,25
8,25
9,25
10,25
11,25
12,25
13,25
0,1
1,25
2,17
3,17
4,25
5,25
6,25
7,25
0,17
1,1
2,1
3,17
4,17
5,17
6,17
7,25
8,25
9,25
10,25
11,25
12,25
13,25
14,25
0,1
1,1
2,1
3,17
0,1
1,17
2,39
3,17
4,17
5,17
6,25
7,25
8,25
9,25
10,25
0,1
1,25
2,1
3,17
4,25
5,25
0,1
1,17
2,1
3,25
0,1
1,17
2,17
3,17
0,1
1,1
2,17
3,17
4,17
5,17
0,1
1,17
2,1
3,17
4,17
5,17
6,25
7,25
0,1
1,1
2,17
3,17
4,17
5,17
0,1
1,1
2,25
3,17
0,17
1,1
2,17
3,25
4,25
5,25
6,25
0,1
1,25
2,17
3,17
4,25
5,25
6,25
7,25
8,25
9,25
10,25
0,17
1,1
2,1
3,25
4,25
5,25
6,25
0,17
1,17
2,1
3,17
4,42
5,25
6,25
7,25
8,25
9,25
10,25
0,17
1,25
2,25
3,25
4,25
0,1
1,17
2,17
3,25
4,25
5,25
6,25
7,25
8,25
9,25
0,1
1,1
2,17
3,17
4,1
5,25
6,25
7,25
8,25
9,25
10,25
11,25
12,25
0,1
1,1
2,17
3,17
4,17
5,25
6,25
7,25
8,25
9,25
10,25
11,25
12,25
13,25
14,25
15,25
0,1
1,17
2,17
0,17
1,1
2,17
3,25
4,25
5,25
0,1
1,17
2,17
3,1
4,25
5,25
6,25
0,17
1,1
2,1
0,1
1,1
2,17
3,17
4,17
0,17
1,1
2,1
3,17
4,25
5,25
0,1
1,1
2,17
3,25
4,25
5,25
6,25
7,25
8,25
0,1
1,1
0,17
1,17
0,1
1,17
2,25
3,25
4,25
5,25
6,25
7,25
8,25
9,25
0,1
1,25
2,1
0,1
1,1
0,1
1,17
2,17
3,1
4,25
5,25
6,25
7,25
0,1
1,17
2,1
3,17
0,1
1,17
2,25
3,25
0,1
1,1
2,17
3,17
4,25
0,1
1,1
2,1
3,25
4,25
5,25
6,25
7,25
8,25
